,Show_Number,Air_Date,Round,Category,Value,Question,Answer
15247,5408,2/27/08,Double Jeopardy!,ARCTIC ANIMALS,$400 ,This large bee of the genus Bombus can range from Tierra del Fuego in South America to far beyond the Arctic Circle,the bumblebee
198500,3183,6/3/98,Jeopardy!,UP IN THE SKY!,$200 ,Over 90 nations have agreed to a total ban on CFCs by the year 2000 to protect this atmospheric layer,Ozone layer
83324,3595,3/31/00,Double Jeopardy!,"""TIC"" TALK","$1,000 ","It's a poem or verse in which certain letters, usually the first in each line, spell out a word",Acrostic
109884,3851,5/7/01,Jeopardy!,HIP HOP NATION,$500 ,"The gerboa & the kangaroo this, seen here, share identical traits, but have very different ancestors",rat
26193,2916,4/14/97,Jeopardy!,THE CIVIL WAR,$300 ,"Before his troops' charge at Gettysburg, he told them ""Don't forget today that you are from old Virginia""",George Pickett
196432,3012,10/7/97,Jeopardy!,SLOGANS,$400 ,"""Life is not a spectator sport""",Reebok
191148,3666,7/10/00,Double Jeopardy!,FUN WITH AREA CODES,$800 ,Dial this badge number of Sgt. Friday before you call a number at Disneyland,714
26491,3782,1/30/01,Jeopardy!,STATE CAPITAL NICKNAMES,$200 ,"The ""City of Paul Revere""",Boston
77788,617,4/21/87,Double Jeopardy!,LETTER PERFECT,$600 ,It's the only letter which stands for both a chess piece & a blood group,B (for Bishop)
173832,4939,2/16/06,Double Jeopardy!,SCI-FI/FANTASY HEROINES,"$1,600 ","Either of the 2 similar-sounding roles portrayed by Liv Tyler & Miranda Otto in the ""Lord of the Rings"" series",Arwen (or Eowyn)
108052,2514,7/6/95,Jeopardy!,BIBLE QUOTATIONS,$500 ,"In his sorrow this Old Testament figure said, ""The Lord gave, and the Lord hath taken away""",Job
62460,5191,3/19/07,Double Jeopardy!,ORIGINAL PRANKSTA,"$1,600 ","In 1957 the British TV show ""Panorama"" reported on a bumper crop of this pasta grown in trees",spaghetti
91750,4514,4/1/04,Double Jeopardy!,THEY REALLY SAID IT,"$1,600 ","This 30th president noted, ""When more and more people are thrown out of work, unemployment results""",Calvin Coolidge
52702,3259,11/5/98,Double Jeopardy!,LITERARY QUOTES,"$1,000 ","Hawthorne novel containing the line, ""Old Matthew Maule, in a word, was executed for the crime of witchcraft""","""The House Of The Seven Gables"""
148331,3810,3/9/01,Double Jeopardy!,TV & MOVIE ACTORS,$600 ,Eileen Brennan reprised her movie role as Captain Lewis in this sitcom based on a Goldie Hawn film,Private Benjamin
110011,4164,10/10/02,Double Jeopardy!,YOU'RE GETTING VERY SLEEPY,$400 ,"Term for a prolonged state of deep unconsciousness; it comes from the Greek for ""deep sleep""",coma
47751,6245,11/11/11,Double Jeopardy!,TERMS OF ART,"$7,400 ",Mind your this 16th c. Italian art movement that gave us long-necked Madonnas,Mannerism
1335,3632,5/23/00,Jeopardy!,LESSER-KNOWN MUSICALS,$500 ,"Shaun Cassidy was 10 years old when these actors, his parents, starred in the 1968 musical ""Maggie Flynn""",Jack Cassidy & Shirley Jones
62543,3580,3/10/00,Jeopardy!,THE CINEMA,$300 ,"She co-starred with Arnold Schwarzenegger in ""Eraser"" & sang its theme, ""Where Do We Go From Here""",Vanessa Williams
53708,4535,4/30/04,Double Jeopardy!,"""PIT""TER, ""PAT""TER",$400 ,A very small sum of money,pittance
124288,3414,6/10/99,Double Jeopardy!,OH MAYAN GODS!,"$1,000 ","We don't know how old Itzamna could have pronounced his name, as he had none of these",Teeth
212862,5679,4/23/09,Jeopardy!,ARCHAEOLOGY,$200 ,"In 1974 farmers digging for water found an army of clay warriors ""protecting"" an emperor's tomb in this country",China
60715,6184,6/30/11,Double Jeopardy!,I'M BORED!,$400 ,Invite friends over to play this game; dazzle them with your knowledge while filling in your token with little wedges,Trivial Pursuit
81411,6109,3/17/11,Jeopardy!,AVIATION,$800 ,"Among its single-engine planes are the Skycatcher, Skyhawk & Skylane",Cessna
63583,4812,7/5/05,Jeopardy!,HISTORY,"$1,000 ","The cathedral of this city in Spain claims to hold the remains of Christopher Columbus, moved there in 1899",Seville
108572,2811,11/18/96,Jeopardy!,RANKS & TITLES,$300 ,"Title for the president of a yacht club, or the rank just below a navy's rear admiral",commodore
212742,2871,2/10/97,Jeopardy!,TEACHERS,$100 ,Micki & David Colfax sent 3 sons to Harvard after teaching them exclusively in this place,At Home
81341,1230,12/29/89,Jeopardy!,1989,$300 ,Nike introduced a basketball shoe that can be inflated around this joint for better support,Ankle
95280,5834,1/14/10,Double Jeopardy!,FOOD CONFUSION,"$2,000 ","Found in the ocean, <a href=""http://www.j-archive.com/media/2010-01-14_DJ_24.jpg"" target=""_blank"">this</a> is actually an animal, though its name implies it's the fruit from a gourd family plant",a sea cucumber
143583,2959,6/12/97,Jeopardy!,RELIGION,$300 ,"On June 14, 1992 this world leader returned to the Russian Orthodox church after years as an athiest",Boris Yeltsin
86403,1837,9/8/92,Double Jeopardy!,PEOPLE,$200 ,"Kidnapped from a Detroit area restaurant in 1975, this teamster leader's disappearance is still a ""riddle""",Jimmy Hoffa
114055,3941,10/22/01,Final Jeopardy!,INTERNATIONAL COASTLINES,,It's the only country bordering the Caspian Sea that was not a member of the Soviet Union,Iran
124065,5658,3/25/09,Jeopardy!,DUMB STUFF I SAW ON THE ROAD,$400 ,"A minivan bore a ""Child in Car"" sign, an obvious ripoff of this sign from Safety 1st Corp,; C'mon, spring for the original!","""Baby on Board"""
50644,2595,12/8/95,Jeopardy!,HOLIDAYS & OBSERVANCES,$400 ,"From June to August, the ""Trail of Tears"" drama is staged near Tahlequah in this state",Oklahoma
214128,6244,11/10/11,Jeopardy!,THE 2011 EMMYS,$400 ,Guy Pearce won an acting Emmy for playing Monty in this HBO miniseries,Mildred Pierce
39386,3051,12/1/97,Jeopardy!,EVERYONE'S A CRITIC,$100 ,"As ""The Couch Critic"", Jeff Jarvis airs his views in this magazine",TV Guide
84941,1498,2/20/91,Jeopardy!,NURSERY RHYMES,$200 ,"""Cock-a-doodle-doo, my dame has lost"" one of these",Her Shoe
103538,6198,7/20/11,Jeopardy!,SYNONYMS ON THE INSIDE,$400 ,"Inside ""deceased"" is this word meaning deceased",dead (in deceased)
125549,3075,1/2/98,Jeopardy!,LANGUAGES,$300 ,About 3/4 of the people of Singapore speak this Asian language,Chinese
80788,4267,3/4/03,Double Jeopardy!,"2 ""P""s","$1,200 ",A particular personal annoyance commonly listed in high school yearbooks,pet peeve
9646,5530,9/26/08,Jeopardy!,WHAT TO WEAR,$800 ,In 2002 John Gotti was buried in a pinstripe suit of this characteristic closing type,double-breasted
16001,5346,12/3/07,Jeopardy!,COFFEE BREAK,$600 ,In the 1940s this libation was invented at what's now the Shannon Airport as a welcome drink for visitors,an Irish coffee
21647,3475,10/15/99,Double Jeopardy!,NAME THAT DAD,$800 ,Mrs. Arnold Schwarzenegger,Sargent Shriver
118488,1884,11/12/92,Double Jeopardy!,"HISTORIC ""G'' 'S",$800 ,"This 4-time British prime minister tried to abolish income taxes, but failed",William Gladstone
81877,5919,5/13/10,Jeopardy!,THE FINAL FORE,$200 ,"In 2004 this ""lefty"" birdied 5 of the last 7 holes at Augusta to win his first major championship",Mickelson
129638,4727,3/8/05,Double Jeopardy!,CAMERA WORK,"$1,600 ","If a camera captures sound too, it's this word, like Sony's Handycam",a camcorder
96596,3560,2/11/00,Double Jeopardy!,THIS OLD HAUNTED HOUSE,$800 ,"This 19th C. man's ghost appears at Loudon Cottage, once owned by the woman who sat next to him when he was shot",Abraham Lincoln
38347,3950,11/2/01,Double Jeopardy!,BEST ORIGINAL SCREENPLAY,$200 ,Herman J. Mankiewicz & Orson Welles           (1941),Citizen Kane
166921,5349,12/6/07,Double Jeopardy!,FRENCH CLASS,"$1,600 ","Literally, ""a la mode"" doesn't mean ""with ice cream"" but this 2-word phrase that's a Time Inc. fashion magazine",In style
122909,4516,4/5/04,Double Jeopardy!,"GETTING THE ""AX'",$800 ,"It's the capital of Nova Scotia, eh",Halifax
192513,6223,10/12/11,Double Jeopardy!,CENTURY OF THE CRIME,"$2,000 ",The murder of Thomas a Becket,the 12th century
174119,6046,12/20/10,Double Jeopardy!,THINGS WITH POCKETS,$400 ,It's the number of pockets on a standard pool table,six
19293,10,9/21/84,Jeopardy!,SHIPS,$400 ,Royal neighbor of the Spruce Goose,the Queen Mary
192752,5046,7/17/06,Jeopardy!,HISTORIC AMERICANS,$400 ,Carrie Chapman Catt succeeded this woman as president of the National American Woman Suffrage Association,Susan B. Anthony
42480,2861,1/27/97,Jeopardy!,WORLD CAPITALS,$100 ,This Swiss capital is the headquarters for the International Copyright Union,Bern
9945,3543,1/19/00,Jeopardy!,POLITICS & SHOW BIZ,$400 ,Artists like Gladys Knight have recorded the songs of this senior senator from Utah,Orrin Hatch
46213,4832,9/20/05,Jeopardy!,"""T"" TIME","$1,000 ","It's beef stomach lining, yum!",tripe
215996,1881,11/9/92,Double Jeopardy!,GENERAL SCIENCE,$200 ,"Using this form of electromagnetic radiation, you can cook an entire chicken in 15 minutes",Microwave
194015,4704,2/3/05,Double Jeopardy!,FASHIONABLE STORES,$400 ,This store with the Xhilaration & Mossimo brands jumped on Justin Timberlake & Christina Aguilera's tour,Target
150663,3512,12/7/99,Jeopardy!,STATE FACTS,$300 ,"(Hi, I""m Joshua Morrow from ""The Young and the Restless"")  ""North to the Future"" is the official motto of this state, my birthplace",Alaska
138560,4242,1/28/03,Double Jeopardy!,BEFORE & AFTER,"$1,600 ","""Super Freak"" singer who authored the ""Leatherstocking Tales""",Rick James Fenimore Cooper
46359,14,9/27/84,Double Jeopardy!,MAMMALS,$200 ,"Alphabetically, it's #1",the aardvark
207876,4331,6/2/03,Jeopardy!,ROCHESTER,$600 ,"9 miles east of Pontiac, the city of Rochester in this state is home to Oakland University",Michigan
142010,5155,1/26/07,Double Jeopardy!,PAINTERS & PAINTINGS,"$1,200 ","Like David, Edvard Munch did a painting called ""The Death"" of this man, but he placed him on a bed, not in a bath",Marat
61381,475,10/3/86,Double Jeopardy!,FLAGS,$400 ,"First unfurled after Hawaii's statehood, it's flown officially since 1960",50-star flag
86693,4910,1/6/06,Jeopardy!,"""B"" BOYS","$1,000 ","A Moscow cathedral is popularly named for this saint known as a ""holy fool""",St. Basil
164074,5122,12/12/06,Final Jeopardy!,CHIEF JUSTICES,,"He wrote that if a person in custody ""cannot afford an attorney, one will be appointed for him... if he so desires""",Earl Warren
188170,3604,4/13/00,Jeopardy!,THE BILL OF RIGHTS,$100 ,"The First Amendment says that this body ""shall make no law respecting an establishment of religion...""",Congress
110292,5130,12/22/06,Jeopardy!,THE LARGEST IN AREA,$600 ,"Malta, Mexico, Mongolia",Mexico
209352,2965,6/20/97,Double Jeopardy!,LETTERS & NUMBERS,"$1,000 ",This controversial drug used to end pregnancies was developed by the French company Roussel Uclaf,RU-486
203554,1376,9/3/90,Jeopardy!,FOOD,$200 ,"Consisting of puff pastry layered with custard or cream, this pastry's fit for a French emperor",a Napoleon
150626,1150,9/8/89,Double Jeopardy!,FIRST NOVELS,$400 ,"The actual title of his 1st novel is ""The Posthumous Papers of the Pickwick Club""",Charles Dickens
209662,5323,10/31/07,Jeopardy!,IT HAPPENED ON HALLOWEEN,$400 ,1926: There's no escape for this magician who dies following a rupture of his appendix,Harry Houdini
211512,3427,6/29/99,Jeopardy!,EUROPEAN MUSEUMS,$300 ,This Swiss city's Palais des Nations houses a stamp museum & the League of Nations Museum,Geneva
166125,6038,12/8/10,Jeopardy!,STATE FAIRS,"$1,000 ","F. Scott Fitzgerald's 1928 story ""A Night at the Fair"" is set at this Midwestern state's fair",Minnesota
29556,5855,2/12/10,Jeopardy!,NFL LOGOS,$600 ,A gold lightning bolt outlined in blue,San Diego Chargers
14616,5435,4/4/08,Jeopardy!,FUN ON THE MAP,$400 ,Say ahhhhhhhh! The Dalton Iceberg Tongue on this continent actually looks like a tongue,Antarctica
1252,4936,2/13/06,Jeopardy!,PIZZA TOPPINGS,$200 ,This type of hard sausage is America's favorite pizza topping,pepperoni
209546,5526,9/22/08,Jeopardy!,2008 NEWS,$600 ,"In July, leaders of Israel, Syria, Algeria, etc. met in France to launch the Union for this body of water",the Mediterranean Sea
173702,3797,2/20/01,Double Jeopardy!,GHASTLY OPERATIC DEMISES,$200 ,Herod orders his guards to crush her to death with shields (Maybe she should have stopped at 6 veils...),Salome
44161,5010,5/26/06,Jeopardy!,BABY YOU CAN MAKE MY CAR,$400 ,"It's a ""Tribute"" to the ""RX-8"" that this company is driven to succeed",Mazda
21893,5308,10/10/07,Jeopardy!,"7, 8 OR 9",$200 ,Number of Snow White's height-challenged housemates,7
155831,6216,10/3/11,Jeopardy!,FOR YOUR REFERENCE,$800 ,This word for a geographic dictionary once meant someone who writes for a newspaper,a gazetteer
181733,2015,5/14/93,Jeopardy!,LANGUAGES,$100 ,"Farsi, which is also called Persian, is spoken in this country once known as Persia",Iran
121093,3248,10/21/98,Jeopardy!,"""MAN"" TO ""MAN""",$500 ,Agreeable term for one who approves of every suggestion made by a superior,"""Yes Man"""
105997,4641,11/8/04,Double Jeopardy!,CALIFORNIA DREAMIN',$800 ,In 1848 this large migration began with a valuable discovery at Sutter's Mill,the Gold Rush
105384,3308,1/13/99,Double Jeopardy!,U.S. CITIES,"$1,000 ","The name of this city at the hub of California's San Joaquin Valley is Spanish for ""Ash Tree""",Fresno
147289,3699,10/5/00,Jeopardy!,"SECONDS, PLEASE",$400 ,"This group's second CD was a holiday special, 1998's ""Home for Christmas""",'N Sync
123427,3194,6/18/98,Jeopardy!,"WHO ""M I""?",$300 ,In 1505 I was summoned by Pope Julius II to create his tomb,Michelangelo
195476,5254,6/14/07,Jeopardy!,"THE OLD ""LINE"" STATE",$400 ,Style of armchair where you'll find me during Lakers games,recliner
92063,1197,11/14/89,Jeopardy!,WOMEN IN SPORTS,$400 ,"In 1979, Ann Meyers became the first woman to sign with a men's team in this pro sport",basketball
98165,4491,3/1/04,Double Jeopardy!,NAMES IN MEDICINE,$800 ,"Lymphomas are divided into his ""Disease"" & non-his",Hodgkin
157626,4138,9/4/02,Double Jeopardy!,MATHEMATICIANS,$400 ,He discovered the law of universal gravitation as well as a new way to calculate curves,Newton
120223,3281,12/7/98,Jeopardy!,I SAW IT IN VOGUE,$100 ,A dermatologist warns beach bunnies that these lose effectiveness in 2-4 hours,Sunscreens
185015,5176,2/26/07,Jeopardy!,THET IZN'T SPELED RITE,$200 ,"Moraine, ordain, champain",champagne
107115,2976,7/7/97,Double Jeopardy!,HAIL TO THE CHIEF,$400 ,During WWII this future president was supreme commander of the Allies in Europe,Dwight D. Eisenhower
10462,4122,7/2/02,Double Jeopardy!,A PINT OF ALEC GUINNESS,"$2,000 ","Guinness received his first Oscar nomination for this 1951 comedy about a ""Mob"" that robs a bank",The Lavender Hill Mob
94692,5221,4/30/07,Double Jeopardy!,INTRA-MURALS,"$2,000 ","The bug seen <a href=""http://www.j-archive.com/media/2007-04-30_DJ_17.jpg"" target=""_blank"">here</a> above Anubis' head is one of <a href=""http://www.j-archive.com/media/2007-04-30_DJ_17a.jpg"" target=""_blank"">these</a> beetles",a scarab
10323,3014,10/9/97,Double Jeopardy!,SPACE FLIGHT,$400 ,This country has a launch site in the Negev Desert,Israel
106713,5848,2/3/10,Double Jeopardy!,GRAPHIC NOVELS,"$1,200 ",A graphic novel by Robert Venditti & Brett Weldele was the basis for this Bruce Willis film about androids that live for users,Surrogates
61731,5006,5/22/06,Jeopardy!,MOVIE TERMS,"$1,000 ","The last shot of the day is named for this cocktail, which presumably the crew will be enjoying soon",a martini
66666,3021,10/20/97,Double Jeopardy!,SECTS,$800 ,This man who joined the Separatists in the early 1600s was re-elected Plymouth Colony governor 30 times,William Bradford
151730,3273,11/25/98,Double Jeopardy!,"CANADIAN CUISINE, EH?","$1,000 ","Aw, shucks -- Malpeque Bay oysters are a taste treat from this small island province",Prince Edward Island
35127,3771,1/15/01,Double Jeopardy!,GET TO WORK,$800 ,The manager of a hotel or the headwaiter at a restaurant often goes by this French title,Maitre d'
123370,3848,5/2/01,Jeopardy!,ODDS & ENDS,$400 ,"The barn variety of this bird doesn't give a hoot, but rather a raspy, hissing screech",owl
49474,5693,5/13/09,Double Jeopardy!,WOMEN ON MY INFINITE PLAYLIST,$800 ,"Formerly on ""Kids Incorporated"", this ""Glamorous"" woman can tell you that ""Big Girls Don't Cry""",Fergie
143341,2895,3/14/97,Jeopardy!,AUTHORS,$400 ,"Archibald MacLeish based his verse play ""J.B."" on this book of the Bible",Job
188127,277,10/1/85,Jeopardy!,BIBLICAL ZOO,$300 ,They licked the sores of Lazarus & ate the flesh of Jezebel,dogs
116115,3906,9/3/01,Jeopardy!,TRUE STORY,$400 ,"This gonzo journalist tells the ""Strange and Terrible Saga"" of flying with angels--Hell's Angels",Hunter Thompson
31413,2625,1/19/96,Jeopardy!,ASTRONOMY,$300 ,In 1504 Columbus scared the locals in Jamaica when he predicted one of these,(Lunar) Eclipse
186255,5339,11/22/07,Double Jeopardy!,SAINTS,"$1,600 ",The Pope struck a medal to celebrate the 1572 massacre of Huguenots on this saint's day,St. Bartholomew
111975,5836,1/18/10,Jeopardy!,"IT'S ALL ABOUT ""U""",$400 ,Dairy farmers say thanks for this mammary gland of bovines,udders
35721,3575,3/3/00,Double Jeopardy!,CLOTH & FABRICS,$600 ,"This soft, slightly napped cotton fabric is popular in snuggly PJs & gray suits of the '50s",Flannel
106288,3013,10/8/97,Double Jeopardy!,WILLIAM WORDSWORTH,$400 ,"During a visit to this country, he had a passionate affair, & a child, with Annette Vallon",France
195937,5064,9/21/06,Double Jeopardy!,CORPORATE NAME ETYMOLOGY,"$7,000 ","This telecommunications company's name comes from the Latin word for ""truth""",Verizon
39333,6225,10/14/11,Jeopardy!,THE PLANETS,$400 ,Around 1675 Gian Domenico Cassini observed a dark gap in this planet's main rings,Saturn
4571,5512,7/22/08,Jeopardy!,"NEBRASKA, NEW YORK OR NORTH DAKOTA",$600 ,The Oregon Trail crossed it,Nebraska
147519,6099,3/3/11,Jeopardy!,SPECIAL MONTHS,$600 ,National Craft Month & Irish-American Heritage Month,March
124763,5618,1/28/09,Double Jeopardy!,CHARACTERS IN MOVIES,"$2,000 ","Jules Winnfield, Butch Coolidge, ""The Wolf""",Pulp Fiction
66426,2351,11/21/94,Double Jeopardy!,FINANCE,$800 ,"According to Engel's Law, when the income of a household rises, the percentage spent on this decreases",Food
175965,5396,2/11/08,Jeopardy!,CLIFF NOTES,"$1,000 ",It's the alphanumeric alias for Mount Godwin-Austen,K2
55124,6058,1/5/11,Jeopardy!,THE LAST EMPEROR,$600 ,Maximilian,Mexico
147434,5240,5/25/07,Double Jeopardy!,"""P""s ON EARTH","$1,200 ",The Jones Act of 1917 granted U.S. citizenship to inhabitants of this Caribbean island,Puerto Rico
23695,5967,7/20/10,Jeopardy!,"BIG ""BROTHER""",$400 ,"A sibling by marriage, not genetics",a brother-in-law (or stepbrother)
64543,4797,6/14/05,Double Jeopardy!,GO,$400 ,The nonrigid airships seen at sporting events were used in WWII to escort convoys by looking for submarines,blimps
172341,3090,1/23/98,Double Jeopardy!,SPORTS MEDICINE,$600 ,An abrasion for scraping a hard surface is also called by the name of this fruit,strawberry
183498,1265,2/16/90,Double Jeopardy!,FROM THE LATIN,$200 ,"Your old school, literally ""Fostering Mother""",Alma Mater
23773,4663,12/8/04,Jeopardy!,WHOSE LIME IS IT ANYWAY?,"$1,000 ",The headquarters of this world famous insurance company & underwriter is on Lime Street in London,Lloyds
143174,3476,10/18/99,Double Jeopardy!,CENTRAL AMERICAN HISTORY,$200 ,"In 1823, 5 present Central American countries broke away from this nearby one",Mexico
65690,3730,11/17/00,Double Jeopardy!,BALLET,$400 ,"The comic ballet ""Offenbach in the Underworld"" features dancers in hats that look like this Parisian tower",Eiffel Tower
25540,5860,2/19/10,Jeopardy!,TO THE FAR EAST SIDE,$400 ,"20 miles east of the Yellow Sea is this South Korean city whose name means ""capital"", which is convenient",Seoul
134338,5458,5/7/08,Double Jeopardy!,OFF TO COLLEGE,"$2,000 ","After a millionaire was murdered by his valet, this Houston univ. that he endowed got to open its doors sooner",Rice
57359,5495,6/27/08,Jeopardy!,DOWN ECUADOR WAY,$800 ,In July 1822 the city of Guayaquil was the site of an historic meeting between Jose de San Martin & this liberation leader,Simon Bolivar
147650,5043,7/12/06,Jeopardy!,MOVIE CATCH PHRASES,$800 ,"1950: <a href=""http://www.j-archive.com/media/2006-07-12_J_11.mp3"">""I am big!  It's the pictures that got small""</a>",Sunset Boulevard
116147,3906,9/3/01,Double Jeopardy!,WHERE WERE YOU LAST NIGHT?,$800 ,Down in Plaka listening to bouzouki music,Athens
148009,1660,11/15/91,Jeopardy!,BUSINESS & INDUSTRY,$300 ,"Headquartered in St. Louis, it's the largest single brewing organization in the world",Anheuser-Busch
191679,4103,6/5/02,Jeopardy!,CELEBRITY WEDDINGS,$200 ,"This diva looked far from ""Puffy"" when she danced off with choreographer Cris Judd in 2001",Jennifer Lopez
126563,3791,2/12/01,Double Jeopardy!,LITERATURE,$200 ,"Polish-born Jerzy Kosinski wrote all of his novels, including ""Being There"" in this, his adopted language",English
55304,6174,6/16/11,Jeopardy!,FUN WITH ELEMENTS,$600 ,You'll find a short term for a graduate of a particular college in this abundant metallic element,aluminum
106968,5294,9/20/07,Jeopardy!,OFFICIAL STATE THINGS,$200 ,It reigns as West Virginia's official state butterfly,monarch
167236,3679,9/7/00,Jeopardy!,SCIENCE STUFF,$200 ,Ventifacts are rocks that are shaped by sand driven by this force of nature,Wind
178793,3117,3/3/98,Double Jeopardy!,WORLD HISTORY,"$1,000 ","On Feb. 12, 1912, the last emperor of this dynasty abdicated, ending more than 3,000 years of Chinese monarchy",Manchu
37804,2961,6/16/97,Jeopardy!,BUSINESS & INDUSTRY,$500 ,This firm owned by the Seagram Company is the leading seller of pasteurized orange juice,Tropicana
111731,3887,6/26/01,Jeopardy!,THE FRENCH CONNECTION,$100 ,This relative is une tante,Aunt
161838,5882,3/23/10,Double Jeopardy!,"HERE COME THE ""COP""S",$800 ,"""Feline"" imitator",copycat
43374,5998,10/13/10,Double Jeopardy!,ENTERTAINMENT WEEKLY,"$1,600 ","In 2007, Reese told ""E.W."" about her big fall movie in which her Egyptian-born husband suffers this title transfer by force",Rendition
209931,2676,4/1/96,Double Jeopardy!,COLUMNISTS,$400 ,"This Newsweek columnist is a regular commentator on ""This Week with David Brinkley""",George Will
167740,5078,10/11/06,Double Jeopardy!,EGYPTIAN HISTORY,"$1,200 ","(<a href=""http://www.j-archive.com/media/2006-10-11_DJ_08.jpg"" target=""_blank"">Sarah of the Clue Crew walks among the pyramids at Giza, Egypt.</a>)  The Egyptian period from about 2700 to 2200 B.C. is known as the Pyramid Age, or by this ancient name",the Old Kingdom
172517,6047,12/21/10,Double Jeopardy!,THE DOGS OF WAR,"$1,200 ","This colorful World War I flying ace is seen <a href=""http://www.j-archive.com/media/2010-12-21_DJ_05.jpg"" target=""_blank"">here</a> with his dog Moritz",the Red Baron
63190,967,11/15/88,Double Jeopardy!,SHAKESPEARE,"$1,000 ","The title character of this tragedy is governor of Cyprus, where much of the play is set","""Othello"""
207308,5013,5/31/06,Double Jeopardy!,ALL THAT JAZZ,$400 ,"The instrument seen <a href=""http://www.j-archive.com/media/2006-05-31_DJ_21.jpg"" target=""_blank"">here</a> was played by this swingin' bandleader who was at home with classical too",Benny Goodman
3603,4582,7/6/04,Jeopardy!,WEDDINGS,$800 ,"A Navy wedding features an arch of swords; an Army wedding, an arch of these heavy cavalry swords",sabres
